file,facility_code,date_opened,facility_type,ownership,OPD...Outpatient.Services,IMCI...Integrated.Management.of,Nutritional.Counseling,Minor.Surgical.Interventions,mRDT...Rapid.Diagnostic.Tests,First.Line.Treatment,STI...Management.of.Sexually.Transmitted.Illness,VCT...Voluntary.Counseling.and.Testing,PITC...Provider.Initiated.Testing.And.Counseling,PMTCT...ANC,PMTCT...Maternity,VMMC...Voluntary.Medical.Male.Circumcision.Services,Dispensing.Room,Antenatal.Care,Postnatal.Care,BEmOC...Basic.Emergency.Obstetric.Care,Vaccination,IMM.BASIC...Basic.Immunization
facility_100000-9.pdf,100000-9,1970-01-01,Dispensary,"Private, Faith Based Organization (FBO) :",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
facility_100001-7.pdf,100001-7,1957-07-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100002-5.pdf,100002-5,2003-01-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100003-3.pdf,100003-3,1970-01-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100004-1.pdf,100004-1,1978-06-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100005-8.pdf,100005-8,1986-08-05,Dispensary,"Private, Faith Based Organization (FBO)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100009-0.pdf,100009-0,2024-10-14,PolyClinic,"Private, Faith Based Organization (FBO)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100010-8.pdf,100010-8,2018-05-06,Hospital at Regional Level,"Private, Faith Based Organization (FBO)",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100011-6.pdf,100011-6,1970-01-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100014-0.pdf,100014-0,1989-05-07,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100015-7.pdf,100015-7,1970-01-01,Dispensary,"Public, LGA : LGA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100019-9.pdf,100019-9,1976-07-15,Dispensary,"Public, Military : JWTZ",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
facility_100020-7.pdf,100020-7,2007-11-01,Dispensary,"Public, Military : JWTZ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100021-5.pdf,100021-5,1970-01-01,Dispensary,"Public, Military : TPDF",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
facility_100024-9.pdf,100024-9,2001-08-07,Dispensary,"Private, For Profit : DR SAMATA KASELA",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100026-4.pdf,100026-4,2015-01-07,Health Center,"Private, Faith Based Organization (FBO)",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
facility_100032-2.pdf,100032-2,2000-01-01,Dispensary,"Private, For Profit :",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100035-5.pdf,100035-5,1970-01-01,Dispensary,"Private, For Profit : DR. DAUD SUNDARA",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
facility_100039-7.pdf,100039-7,2003-10-17,Dispensary,"Private, NGOs : Preventive health care",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100044-7.pdf,100044-7,2024-07-11,PolyClinic,"Private, Faith Based Organization (FBO)",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
facility_100045-4.pdf,100045-4,2025-04-24,PolyClinic,"Private, Faith Based Organization (FBO)",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
facility_100046-2.pdf,100046-2,2024-06-24,PolyClinic,"Private, Faith Based Organization (FBO)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100047-0.pdf,100047-0,2024-07-15,Hospital at Zonal Level,"Private, Faith Based Organization (FBO)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
facility_100050-4.pdf,100050-4,2010-09-30,Dispensary,"Private, For Profit : David Magere",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100052-0.pdf,100052-0,2023-08-24,Hospital at Regional Level,"Private, Faith Based Organization (FBO)",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
facility_100053-8.pdf,100053-8,2020-03-09,PolyClinic,"Private, Faith Based Organization (FBO)",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
facility_100056-1.pdf,100056-1,1986-01-07,PolyClinic,"Private, Faith Based Organization (FBO) :",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
facility_100057-9.pdf,100057-9,1970-01-01,Health Center,"Private, For Profit : Dr. Last Mwakasitu",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
facility_100058-7.pdf,100058-7,2011-09-17,Health Center,"Private, Faith Based Organization (FBO)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
